pool,backbone,skin,seed,cal,method,burden@5,ndcg@5,burden@10,ndcg@10,burden@20,ndcg@20,burden@50,ndcg@50
full,NB,Combination,1,minmax,FAIR_prefix,0.8,0.7860137352654724,2.2,0.8611375561264455,2.4,0.9103827127966565,3.22,0.9096531595166839
full,NB,Combination,1,minmax,proposed,0.0,0.7860137352654724,0.0,0.8611375561264455,0.0,0.9103827127966565,0.0,0.9510821189928904
full,NB,Combination,1,rank,relevance_only,0.8,0.7860137352654724,2.2,0.8611375561264455,2.4,0.9103827127966565,3.22,0.9095772473444996
full,NB,Combination,1,rank,hard_filter,0.8,0.7860137352654724,1.5,0.8611375561264455,1.25,0.9103827127966565,1.42,0.9076873638443477
full,NB,Combination,1,rank,proportional,0.0,0.7860137352654724,0.0,0.8611375561264455,0.05,0.9103827127966565,0.66,0.9211970971580403
full,NB,Combination,1,rank,MMR,3.8,0.8687949224876581,4.3,0.914856882358379,3.5,0.8699203349637841,3.16,0.8847402644077376
full,NB,Combination,1,rank,FAIR_prefix,0.8,0.7860137352654724,2.2,0.8611375561264455,2.4,0.9103827127966565,3.22,0.9096531595166839
full,NB,Combination,1,rank,proposed,0.0,0.7860137352654724,0.0,0.8611375561264455,0.0,0.9103827127966565,0.0,0.9510821189928904
dense,NB,Combination,2,minmax,relevance_only,6.0,0.9999999999999999,8.4,1.0,9.2,0.9999999999999999,8.94,0.9098884024743905
dense,NB,Combination,2,minmax,hard_filter,6.0,0.9999999999999999,8.4,1.0,9.2,0.9999999999999999,8.94,0.9098884024743905
dense,NB,Combination,2,minmax,proportional,4.8,0.9999999999999999,5.3,0.9305687780632227,5.0,0.9551913563983281,5.96,0.8844487383665307
dense,NB,Combination,2,minmax,MMR,7.2,0.8687949224876581,7.4,0.914856882358379,7.85,0.8390290814678961,8.04,0.8475210339973716
dense,NB,Combination,2,minmax,FAIR_prefix,6.0,0.9999999999999999,8.4,1.0,9.2,0.9999999999999999,8.94,0.9098884024743905
dense,NB,Combination,2,minmax,proposed,4.2,0.8687949224876581,4.3,0.914856882358379,4.15,0.9103012392291454,4.3,0.843733498190809
dense,NB,Combination,2,rank,relevance_only,6.0,0.9999999999999999,8.4,1.0,9.2,0.9999999999999999,8.94,0.9098884024743905
dense,NB,Combination,2,rank,hard_filter,6.0,0.9999999999999999,8.4,1.0,9.2,0.9999999999999999,8.94,0.9098884024743905
dense,NB,Combination,2,rank,proportional,4.8,0.9999999999999999,5.3,0.9305687780632227,5.8,0.9551913563983281,7.18,0.9284245675447594
dense,NB,Combination,2,rank,MMR,7.2,0.8687949224876581,7.8,0.8512360941594274,7.2,0.871127661973548,9.16,0.8699243021763178
dense,NB,Combination,2,rank,FAIR_prefix,6.0,0.9999999999999999,8.4,1.0,9.2,0.9999999999999999,8.94,0.9098884024743905
dense,NB,Combination,2,rank,proposed,4.2,0.8687949224876581,4.3,0.914856882358379,4.25,0.9103012392291454,4.34,0.8575128262925669
full,NB,Combination,2,minmax,relevance_only,0.8,0.6608397947263838,1.1,0.7799082337019198,2.4,0.8579599603663426,3.02,0.9224669929889917
full,NB,Combination,2,minmax,hard_filter,0.8,0.6608397947263838,0.4,0.7799082337019198,1.35,0.8579599603663426,1.26,0.8941608051276317
full,NB,Combination,2,minmax,proportional,0.0,0.6608397947263838,0.0,0.7799082337019198,0.05,0.8579599603663426,0.44,0.9084302160635537
full,NB,Combination,2,minmax,MMR,4.4,0.49125969208957565,3.6,0.6698623505528797,2.5,0.7190916394927798,2.14,0.8466652787423167
full,NB,Combination,2,minmax,FAIR_prefix,0.8,0.6608397947263838,1.1,0.7799082337019198,2.4,0.8579599603663426,2.96,0.9224669929889917
full,NB,Combination,2,minmax,proposed,0.0,0.6608397947263838,0.0,0.7799082337019198,0.0,0.8579599603663426,0.0,0.9224669929889917
full,NB,Combination,2,rank,relevance_only,0.8,0.6608397947263838,1.1,0.7799082337019198,2.4,0.8579599603663426,3.02,0.9224669929889917
full,NB,Combination,2,rank,hard_filter,0.8,0.6608397947263838,0.4,0.7799082337019198,1.35,0.8579599603663426,1.26,0.8941608051276317
full,NB,Combination,2,rank,proportional,0.0,0.6608397947263838,0.0,0.7799082337019198,0.05,0.8579599603663426,0.8,0.9085086228771172
full,NB,Combination,2,rank,MMR,2.8,0.6608397947263838,1.7,0.7799082337019198,3.1,0.8579599603663426,2.92,0.8943828722340136
full,NB,Combination,2,rank,FAIR_prefix,0.8,0.6608397947263838,1.1,0.7799082337019198,2.4,0.8579599603663426,2.96,0.9224669929889917
full,NB,Combination,2,rank,proposed,0.0,0.6608397947263838,0.0,0.7799082337019198,0.0,0.8579599603663426,0.0,0.9224669929889917
dense,NB,Combination,3,minmax,relevance_only,9.0,0.9999999999999999,9.2,1.0,9.15,0.9659370277440174,9.7,0.9358229512241022
dense,NB,Combination,3,minmax,hard_filter,9.0,0.9999999999999999,9.2,1.0,9.15,0.9659370277440174,9.7,0.9358229512241022
dense,NB,Combination,3,minmax,proportional,4.0,0.8539316501572934,5.3,0.9052116356304493,5.4,0.905961714054391,6.14,0.8588766962928444
dense,NB,Combination,3,minmax,MMR,8.0,0.8304198973631918,9.6,0.8899541168509599,9.0,0.8181093043943957,9.14,0.8577464201830755
dense,NB,Combination,3,minmax,FAIR_prefix,9.0,0.9999999999999999,9.2,1.0,9.15,0.9659370277440174,9.7,0.9358229512241022
dense,NB,Combination,3,minmax,proposed,4.2,0.8304198973631918,4.3,0.8899541168509599,4.4,0.8224076779342063,4.28,0.7978225530895794
dense,NB,Combination,3,rank,relevance_only,9.0,0.9999999999999999,9.2,1.0,9.15,0.9659370277440174,9.7,0.9358229512241022
dense,NB,Combination,3,rank,hard_filter,9.0,0.9999999999999999,9.2,1.0,9.15,0.9659370277440174,9.7,0.9358229512241022
dense,NB,Combination,3,rank,proportional,4.6,0.8539316501572934,5.4,0.9052116356304493,6.4,0.938826684621968,7.46,0.891307197495185
dense,NB,Combination,3,rank,MMR,8.4,0.8304198973631918,8.4,0.8899541168509599,8.5,0.8955424887984578,9.42,0.8695385094575055
dense,NB,Combination,3,rank,FAIR_prefix,9.0,0.9999999999999999,9.2,1.0,9.15,0.9659370277440174,9.7,0.9358229512241022
dense,NB,Combination,3,rank,proposed,4.2,0.8304198973631918,4.4,0.8899541168509599,4.4,0.8205457681725046,4.34,0.7974530458688799
full,NB,Combination,3,minmax,relevance_only,3.0,0.9999999999999999,2.1,0.9363792118010483,2.5,0.9589412206131108,2.6,0.9635511578690212
full,NB,Combination,3,minmax,hard_filter,1.6,0.9999999999999999,1.8,0.933745776545611,1.35,0.9572416874849684,1.1,0.9618862152400183
full,NB,Combination,3,minmax,proportional,0.0,0.9999999999999999,0.0,0.9266360779006398,0.0,0.952653320122114,0.3,0.959272527545571
full,NB,Combination,3,minmax,MMR,1.6,0.9999999999999999,0.9,1.0,3.35,0.9999999999999999,3.04,0.9420940175371666
full,NB,Combination,3,minmax,FAIR_prefix,3.0,0.9999999999999999,2.1,0.9363792118010483,2.5,0.9589412206131108,2.6,0.9635511578690212
full,NB,Combination,3,minmax,proposed,0.0,0.9999999999999999,0.0,0.9266360779006398,0.0,0.952653320122114,0.0,0.9741556643296638
full,NB,Combination,3,rank,relevance_only,3.0,0.9999999999999999,2.1,0.9363792118010483,2.5,0.9589412206131108,2.6,0.9635511578690212
full,NB,Combination,3,rank,hard_filter,1.6,0.9999999999999999,1.8,0.933745776545611,1.35,0.9572416874849684,1.1,0.9618862152400183
full,NB,Combination,3,rank,proportional,0.0,0.9999999999999999,0.0,0.9266360779006398,0.0,0.952653320122114,0.74,0.9589156499196612
full,NB,Combination,3,rank,MMR,2.6,0.9999999999999999,3.3,0.9216017310213245,3.85,0.9146541443265142,3.5,0.9257177289866009
full,NB,Combination,3,rank,FAIR_prefix,3.0,0.9999999999999999,2.1,0.9363792118010483,2.5,0.9589412206131108,2.6,0.9635511578690212
full,NB,Combination,3,rank,proposed,0.0,0.9999999999999999,0.0,0.9266360779006398,0.0,0.952653320122114,0.0,0.9741556643296638
dense,NB,Combination,4,minmax,relevance_only,10.8,0.9999999999999999,8.9,1.0,9.85,0.9659370277440174,9.38,0.9217623701615895
dense,NB,Combination,4,minmax,hard_filter,10.8,0.9999999999999999,8.9,1.0,9.85,0.9659370277440174,9.38,0.9217623701615895
dense,NB,Combination,4,minmax,proportional,4.8,0.9999999999999999,5.0,0.9305687780632227,5.1,0.9196813464899138,6.14,0.8651920314273919
dense,NB,Combination,4,minmax,MMR,8.6,0.6843515475204854,8.5,0.7257345305446319,9.25,0.7889350489474851,9.1,0.8066314715108239
dense,NB,Combination,4,minmax,FAIR_prefix,10.8,0.9999999999999999,8.9,1.0,9.85,0.9659370277440174,9.38,0.9217623701615895
dense,NB,Combination,4,minmax,proposed,4.2,0.8687949224876581,4.3,0.914856882358379,4.3,0.8055153376594603,4.28,0.801953623303272
dense,NB,Combination,4,rank,relevance_only,10.8,0.9999999999999999,8.9,1.0,9.85,0.9659370277440174,9.38,0.9217623701615895
dense,NB,Combination,4,rank,hard_filter,10.8,0.9999999999999999,8.9,1.0,9.85,0.9659370277440174,9.38,0.9217623701615895
dense,NB,Combination,4,rank,proportional,4.8,0.9999999999999999,5.0,0.9216017310213245,6.45,0.9494043170253827,7.54,0.8833786611645734
dense,NB,Combination,4,rank,MMR,8.6,0.69921481985085,8.3,0.8048109992093389,8.65,0.8012146318363264,9.16,0.8196271593921687
dense,NB,Combination,4,rank,FAIR_prefix,10.8,0.9999999999999999,8.9,1.0,9.85,0.9659370277440174,9.38,0.9217623701615895
dense,NB,Combination,4,rank,proposed,4.2,0.8687949224876581,4.3,0.914856882358379,4.3,0.8067838506267586,4.38,0.7887425822589198
full,NB,Combination,4,minmax,relevance_only,2.2,0.6608397947263838,2.7,0.7799082337019198,3.4,0.8579599603663426,3.28,0.8917203771767874
full,NB,Combination,4,minmax,hard_filter,2.4,0.6608397947263838,1.2,0.7799082337019198,1.0,0.8579599603663426,1.14,0.8736428741747888
full,NB,Combination,4,minmax,proportional,0.0,0.6608397947263838,0.0,0.7799082337019198,0.0,0.8579599603663426,0.32,0.8888608870910558
full,NB,Combination,4,minmax,MMR,5.8,0.44685352999185624,3.2,0.4892835987503298,3.35,0.6039990469061939,3.04,0.7385347017524039
full,NB,Combination,4,minmax,FAIR_prefix,2.2,0.6608397947263838,2.7,0.7799082337019198,3.4,0.8579599603663426,3.08,0.8772785891601718
full,NB,Combination,4,minmax,proposed,0.0,0.6608397947263838,0.0,0.7799082337019198,0.0,0.8579599603663426,0.0,0.9224669929889917
full,NB,Combination,4,rank,relevance_only,2.2,0.6608397947263838,2.7,0.7799082337019198,3.4,0.8579599603663426,3.28,0.8917203771767874
full,NB,Combination,4,rank,hard_filter,2.4,0.6608397947263838,1.2,0.7799082337019198,1.0,0.8579599603663426,1.14,0.8736428741747888
full,NB,Combination,4,rank,proportional,0.0,0.6608397947263838,0.0,0.7799082337019198,0.1,0.8579599603663426,0.48,0.8883848706954645
full,NB,Combination,4,rank,MMR,6.0,0.44685352999185624,5.8,0.5626475208496899,3.75,0.6490524110515234,3.02,0.7795422968665443
full,NB,Combination,4,rank,FAIR_prefix,2.2,0.6608397947263838,2.7,0.7799082337019198,3.4,0.8579599603663426,3.08,0.8772785891601718
full,NB,Combination,4,rank,proposed,0.0,0.6608397947263838,0.0,0.7799082337019198,0.0,0.8579599603663426,0.0,0.9224669929889917
dense,NB,Combination,5,minmax,relevance_only,8.8,0.9999999999999999,9.0,1.0,9.0,0.9999999999999999,9.44,0.9246134808283833
dense,NB,Combination,5,minmax,hard_filter,8.8,0.9999999999999999,9.0,1.0,9.0,0.9999999999999999,9.44,0.9246134808283833
dense,NB,Combination,5,minmax,proportional,4.2,0.9999999999999999,5.0,0.9363792118010483,4.95,0.9266029294647911,5.9,0.8702373491943446
dense,NB,Combination,5,minmax,MMR,9.4,0.8304198973631918,8.2,0.8899541168509599,9.4,0.8594069980187744,8.76,0.832005444470244
dense,NB,Combination,5,minmax,FAIR_prefix,8.8,0.9999999999999999,9.0,1.0,9.0,0.9999999999999999,9.44,0.9246134808283833
dense,NB,Combination,5,minmax,proposed,4.2,0.9999999999999999,4.1,0.9305687780632227,4.05,0.8532800830856115,4.3,0.7569045012010548
