skin,model,k_shallow,k_deep,norm,DFI
Sensitive,LogReg,5,400,mean,0.7738
Sensitive,LogReg,5,400,median,1.73
Sensitive,LogReg,5,400,trimmed,0.9169
Sensitive,LogReg,10,100,mean,0.2885
Sensitive,LogReg,10,100,median,0.645
Sensitive,LogReg,10,100,trimmed,0.3418
Sensitive,LogReg,10,200,mean,0.4775
Sensitive,LogReg,10,200,median,1.0675
Sensitive,LogReg,10,200,trimmed,0.5658
Sensitive,LogReg,10,400,mean,0.6172
Sensitive,LogReg,10,400,median,1.38
Sensitive,LogReg,10,400,trimmed,0.7314
Sensitive,LogReg,20,100,mean,0.1431
Sensitive,LogReg,20,100,median,0.32
Sensitive,LogReg,20,100,trimmed,0.1696
Sensitive,LogReg,20,200,mean,0.3321
Sensitive,LogReg,20,200,median,0.7425
Sensitive,LogReg,20,200,trimmed,0.3935
Sensitive,LogReg,20,400,mean,0.4719
Sensitive,LogReg,20,400,median,1.055
Sensitive,LogReg,20,400,trimmed,0.5591
Sensitive,LightGBM,5,100,mean,0.2393
Sensitive,LightGBM,5,100,median,0.535
Sensitive,LightGBM,5,100,trimmed,0.2835
Sensitive,LightGBM,5,200,mean,0.2795
Sensitive,LightGBM,5,200,median,0.625
Sensitive,LightGBM,5,200,trimmed,0.3312
Sensitive,LightGBM,5,400,mean,0.289
Sensitive,LightGBM,5,400,median,0.6462
Sensitive,LightGBM,5,400,trimmed,0.3425
Sensitive,LightGBM,10,100,mean,0.0604
Sensitive,LightGBM,10,100,median,0.135
Sensitive,LightGBM,10,100,trimmed,0.0715
Sensitive,LightGBM,10,200,mean,0.1006
Sensitive,LightGBM,10,200,median,0.225
Sensitive,LightGBM,10,200,trimmed,0.1192
Sensitive,LightGBM,10,400,mean,0.1101
Sensitive,LightGBM,10,400,median,0.2462
Sensitive,LightGBM,10,400,trimmed,0.1305
Sensitive,LightGBM,20,100,mean,0.0716
Sensitive,LightGBM,20,100,median,0.16
Sensitive,LightGBM,20,100,trimmed,0.0848
Sensitive,LightGBM,20,200,mean,0.1118
Sensitive,LightGBM,20,200,median,0.25
Sensitive,LightGBM,20,200,trimmed,0.1325
Sensitive,LightGBM,20,400,mean,0.1213
Sensitive,LightGBM,20,400,median,0.2712
Sensitive,LightGBM,20,400,trimmed,0.1438
