mode,level,seed,skin,system,lam,burden,ndcg
mask,0.0,1,Combination,learned,0.0,10.5,0.8899541168509599
mask,0.0,1,Combination,learned,0.2,4.3,0.8630152897016883
mask,0.0,1,Combination,learned,0.4,3.9,0.9266360779006398
mask,0.0,1,Combination,learned,0.6,3.9,0.9216017310213245
mask,0.0,1,Combination,learned,0.9,4.1,0.8553475075669357
mask,0.0,1,Combination,learned,1.3,4.1,0.7682269253321374
mask,0.0,1,Combination,learned,2.0,4.2,0.6804503724350792
mask,0.0,1,Combination,hybrid,0.0,10.5,0.8899541168509599
mask,0.0,1,Combination,hybrid,0.2,3.5,0.933745776545611
mask,0.0,1,Combination,hybrid,0.4,3.3,0.9363792118010483
mask,0.0,1,Combination,hybrid,0.6,3.2,0.9266360779006398
mask,0.0,1,Combination,hybrid,0.9,3.0,0.8553475075669357
mask,0.0,1,Combination,hybrid,1.3,3.0,0.791726719367984
mask,0.0,1,Combination,hybrid,2.0,3.0,0.7859162856301584
mask,0.0,1,Dry,oracle,0.0,9.3,0.9216017310213245
mask,0.0,1,Dry,oracle,0.2,3.2,0.9305687780632227
mask,0.0,1,Dry,oracle,0.4,3.0,0.9266360779006398
mask,0.0,1,Dry,oracle,0.6,3.0,0.9266360779006398
mask,0.0,1,Dry,oracle,0.9,3.0,0.9266360779006398
mask,0.0,1,Dry,oracle,1.3,3.0,0.9266360779006398
mask,0.0,1,Dry,oracle,2.0,3.0,0.9266360779006398
mask,0.0,1,Dry,rule,0.0,9.3,0.9216017310213245
mask,0.0,1,Dry,rule,0.2,3.2,0.9305687780632227
mask,0.0,1,Dry,rule,0.4,3.0,0.9266360779006398
mask,0.0,1,Dry,rule,0.6,3.0,0.9266360779006398
mask,0.0,1,Dry,rule,0.9,3.0,0.9266360779006398
mask,0.0,1,Dry,rule,1.3,3.0,0.9266360779006398
mask,0.0,1,Dry,rule,2.0,3.0,0.9266360779006398
mask,0.0,1,Dry,learned,0.0,9.3,0.9216017310213245
mask,0.0,1,Dry,learned,0.2,4.2,1.0
mask,0.0,1,Dry,learned,0.4,3.9,1.0
mask,0.0,1,Dry,learned,0.6,3.9,1.0
mask,0.0,1,Dry,learned,0.9,3.8,1.0
mask,0.0,1,Dry,learned,1.3,3.7,1.0
mask,0.0,1,Dry,learned,2.0,3.7,1.0
mask,0.0,1,Dry,hybrid,0.0,9.3,0.9216017310213245
mask,0.0,1,Dry,hybrid,0.2,3.6,1.0
mask,0.0,1,Dry,hybrid,0.4,3.5,1.0
mask,0.0,1,Dry,hybrid,0.6,3.5,1.0
mask,0.0,1,Dry,hybrid,0.9,3.4,1.0
mask,0.0,1,Dry,hybrid,1.3,3.3,1.0
mask,0.0,1,Dry,hybrid,2.0,3.1,0.7967610662472993
mask,0.0,1,Normal,oracle,0.0,8.6,0.7799082337019198
mask,0.0,1,Normal,oracle,0.2,3.0,0.8579809428223729
mask,0.0,1,Normal,oracle,0.4,3.0,0.8579809428223729
mask,0.0,1,Normal,oracle,0.6,3.0,0.8579809428223729
mask,0.0,1,Normal,oracle,0.9,3.0,0.8579809428223729
mask,0.0,1,Normal,oracle,1.3,3.0,0.8579809428223729
mask,0.0,1,Normal,oracle,2.0,3.0,0.8579809428223729
mask,0.0,1,Normal,rule,0.0,8.6,0.7799082337019198
mask,0.0,1,Normal,rule,0.2,3.0,0.8579809428223729
mask,0.0,1,Normal,rule,0.4,3.0,0.8579809428223729
mask,0.0,1,Normal,rule,0.6,3.0,0.8579809428223729
mask,0.0,1,Normal,rule,0.9,3.0,0.8579809428223729
mask,0.0,1,Normal,rule,1.3,3.0,0.8579809428223729
mask,0.0,1,Normal,rule,2.0,3.0,0.8579809428223729
mask,0.0,1,Normal,learned,0.0,8.6,0.7799082337019198
mask,0.0,1,Normal,learned,0.2,3.3,0.866947989864271
mask,0.0,1,Normal,learned,0.4,3.7,0.866947989864271
mask,0.0,1,Normal,learned,0.6,3.7,0.8701249883466594
mask,0.0,1,Normal,learned,0.9,3.7,0.8701249883466594
mask,0.0,1,Normal,learned,1.3,3.8,0.8701249883466594
mask,0.0,1,Normal,learned,2.0,3.8,0.8263333286520083
mask,0.0,1,Normal,hybrid,0.0,8.6,0.7799082337019198
mask,0.0,1,Normal,hybrid,0.2,3.2,0.8553475075669357
mask,0.0,1,Normal,hybrid,0.4,3.2,0.8482378089219645
mask,0.0,1,Normal,hybrid,0.6,3.0,0.7788065869851872
mask,0.0,1,Normal,hybrid,0.9,3.0,0.7819835854675755
mask,0.0,1,Normal,hybrid,1.3,3.0,0.7819835854675755
mask,0.0,1,Normal,hybrid,2.0,3.0,0.7859162856301584
mask,0.0,1,Oily,oracle,0.0,11.0,0.8630152897016883
mask,0.0,1,Oily,oracle,0.2,3.3,0.7951657524814092
mask,0.0,1,Oily,oracle,0.4,3.1,0.6906478832608419
mask,0.0,1,Oily,oracle,0.6,3.0,0.6906478832608419
mask,0.0,1,Oily,oracle,0.9,3.0,0.6906478832608419
mask,0.0,1,Oily,oracle,1.3,3.0,0.6906478832608419
mask,0.0,1,Oily,oracle,2.0,3.0,0.6906478832608419
mask,0.0,1,Oily,rule,0.0,11.0,0.8630152897016883
mask,0.0,1,Oily,rule,0.2,3.3,0.7951657524814092
mask,0.0,1,Oily,rule,0.4,3.1,0.6906478832608419
mask,0.0,1,Oily,rule,0.6,3.0,0.6906478832608419
mask,0.0,1,Oily,rule,0.9,3.0,0.6906478832608419
mask,0.0,1,Oily,rule,1.3,3.0,0.6906478832608419
mask,0.0,1,Oily,rule,2.0,3.0,0.6906478832608419
mask,0.0,1,Oily,learned,0.0,11.0,0.8630152897016883
mask,0.0,1,Oily,learned,0.2,3.9,0.835780413693672
mask,0.0,1,Oily,learned,0.4,3.7,0.7670273914429263
mask,0.0,1,Oily,learned,0.6,3.8,0.642186726668901
mask,0.0,1,Oily,learned,0.9,3.6,0.6300426811446145
mask,0.0,1,Oily,learned,1.3,3.6,0.6051399156371955
mask,0.0,1,Oily,learned,2.0,3.6,0.5919268187287084
mask,0.0,1,Oily,hybrid,0.0,11.0,0.8630152897016883
mask,0.0,1,Oily,hybrid,0.2,3.6,0.7191184989488184
mask,0.0,1,Oily,hybrid,0.4,3.5,0.7353797772725615
mask,0.0,1,Oily,hybrid,0.6,3.4,0.6581810421830974
mask,0.0,1,Oily,hybrid,0.9,3.4,0.6601585067762745
mask,0.0,1,Oily,hybrid,1.3,3.3,0.6523706084452717
mask,0.0,1,Oily,hybrid,2.0,3.2,0.604685538711841
mask,0.0,1,Sensitive,oracle,0.0,11.0,0.7917063341896682
mask,0.0,1,Sensitive,oracle,0.2,3.4,1.0
mask,0.0,1,Sensitive,oracle,0.4,3.4,1.0
mask,0.0,1,Sensitive,oracle,0.6,3.3,1.0
mask,0.0,1,Sensitive,oracle,0.9,3.2,1.0
mask,0.0,1,Sensitive,oracle,1.3,3.1,1.0
mask,0.0,1,Sensitive,oracle,2.0,3.0,1.0
mask,0.0,1,Sensitive,rule,0.0,11.0,0.7917063341896682
mask,0.0,1,Sensitive,rule,0.2,3.4,1.0
mask,0.0,1,Sensitive,rule,0.4,3.4,1.0
mask,0.0,1,Sensitive,rule,0.6,3.3,1.0
mask,0.0,1,Sensitive,rule,0.9,3.2,1.0
mask,0.0,1,Sensitive,rule,1.3,3.1,1.0
mask,0.0,1,Sensitive,rule,2.0,3.0,1.0
mask,0.0,1,Sensitive,learned,0.0,11.0,0.7917063341896682
mask,0.0,1,Sensitive,learned,0.2,4.4,0.7019727018777485
mask,0.0,1,Sensitive,learned,0.4,4.1,0.7542686714597936
mask,0.0,1,Sensitive,learned,0.6,4.1,0.7542686714597936
mask,0.0,1,Sensitive,learned,0.9,4.0,0.7542686714597936
mask,0.0,1,Sensitive,learned,1.3,4.0,0.7254521107352793
mask,0.0,1,Sensitive,learned,2.0,3.7,0.8611375561264455
mask,0.0,1,Sensitive,hybrid,0.0,11.0,0.7917063341896682
mask,0.0,1,Sensitive,hybrid,0.2,3.6,0.8572048559638626
mask,0.0,1,Sensitive,hybrid,0.4,3.8,0.8572048559638626
mask,0.0,1,Sensitive,hybrid,0.6,3.8,0.8572048559638626
mask,0.0,1,Sensitive,hybrid,0.9,3.8,0.8572048559638626
mask,0.0,1,Sensitive,hybrid,1.3,3.6,0.8643145546088338
mask,0.0,1,Sensitive,hybrid,2.0,3.5,0.8701249883466594
mask,0.0,2,Combination,oracle,0.0,13.2,0.933745776545611
mask,0.0,2,Combination,oracle,0.2,3.0,0.7778721720600672
mask,0.0,2,Combination,oracle,0.4,3.0,0.7778721720600672
mask,0.0,2,Combination,oracle,0.6,3.0,0.7778721720600672
mask,0.0,2,Combination,oracle,0.9,3.0,0.7778721720600672
mask,0.0,2,Combination,oracle,1.3,3.0,0.7778721720600672
mask,0.0,2,Combination,oracle,2.0,3.0,0.7778721720600672
mask,0.0,2,Combination,rule,0.0,13.2,0.933745776545611
mask,0.0,2,Combination,rule,0.2,3.0,0.7778721720600672
mask,0.0,2,Combination,rule,0.4,3.0,0.7778721720600672
mask,0.0,2,Combination,rule,0.6,3.0,0.7778721720600672
mask,0.0,2,Combination,rule,0.9,3.0,0.7778721720600672
mask,0.0,2,Combination,rule,1.3,3.0,0.7778721720600672
mask,0.0,2,Combination,rule,2.0,3.0,0.7778721720600672
mask,0.0,2,Combination,learned,0.0,13.2,0.933745776545611
mask,0.0,2,Combination,learned,0.2,3.2,0.8236998933965709
mask,0.0,2,Combination,learned,0.4,3.3,0.8236998933965709
mask,0.0,2,Combination,learned,0.6,3.3,0.8236998933965709
mask,0.0,2,Combination,learned,0.9,3.2,0.8389574121760602
mask,0.0,2,Combination,learned,1.3,3.2,0.8415908474314976
mask,0.0,2,Combination,learned,2.0,3.9,0.8512360941594274
mask,0.0,2,Combination,hybrid,0.0,13.2,0.933745776545611
mask,0.0,2,Combination,hybrid,0.2,3.1,0.8205228949141826
mask,0.0,2,Combination,hybrid,0.4,3.1,0.8205228949141826
mask,0.0,2,Combination,hybrid,0.6,3.0,0.756902106715231
mask,0.0,2,Combination,hybrid,0.9,3.0,0.6906478832608419
mask,0.0,2,Combination,hybrid,1.3,3.0,0.6906478832608419
mask,0.0,2,Combination,hybrid,2.0,3.0,0.7421246259355072
mask,0.0,2,Dry,oracle,0.0,10.9,0.9305687780632227
mask,0.0,2,Dry,oracle,0.2,3.6,0.8611375561264455
mask,0.0,2,Dry,oracle,0.4,3.4,0.7827392871477701
mask,0.0,2,Dry,oracle,0.6,3.3,0.70937536504841
mask,0.0,2,Dry,oracle,0.9,3.1,0.70937536504841
mask,0.0,2,Dry,oracle,1.3,3.1,0.70937536504841
mask,0.0,2,Dry,oracle,2.0,3.0,0.70937536504841
mask,0.0,2,Dry,rule,0.0,10.9,0.9305687780632227
mask,0.0,2,Dry,rule,0.2,3.6,0.8611375561264455
mask,0.0,2,Dry,rule,0.4,3.4,0.7827392871477701
mask,0.0,2,Dry,rule,0.6,3.3,0.70937536504841
mask,0.0,2,Dry,rule,0.9,3.1,0.70937536504841
mask,0.0,2,Dry,rule,1.3,3.1,0.70937536504841
mask,0.0,2,Dry,rule,2.0,3.0,0.70937536504841
mask,0.0,2,Dry,learned,0.0,10.9,0.9305687780632227
mask,0.0,2,Dry,learned,0.2,4.3,0.8899541168509599
mask,0.0,2,Dry,learned,0.4,4.0,0.8200685179888283
mask,0.0,2,Dry,learned,0.6,4.0,0.8048109992093389
mask,0.0,2,Dry,learned,0.9,4.1,0.7877736340270853
mask,0.0,2,Dry,learned,1.3,4.0,0.7312625444731049
mask,0.0,2,Dry,learned,2.0,4.0,0.6500332220485792
mask,0.0,2,Dry,hybrid,0.0,10.9,0.9305687780632227
mask,0.0,2,Dry,hybrid,0.2,3.5,0.7799082337019198
mask,0.0,2,Dry,hybrid,0.4,3.3,0.7312625444731049
mask,0.0,2,Dry,hybrid,0.6,3.3,0.70937536504841
mask,0.0,2,Dry,hybrid,0.9,3.3,0.7314470771099788
mask,0.0,2,Dry,hybrid,1.3,3.2,0.7416702490101529
mask,0.0,2,Dry,hybrid,2.0,3.0,0.7416702490101529
mask,0.0,2,Normal,oracle,0.0,10.6,0.9266360779006398
mask,0.0,2,Normal,oracle,0.2,3.2,0.6947651160602988
mask,0.0,2,Normal,oracle,0.4,3.0,0.6947651160602988
mask,0.0,2,Normal,oracle,0.6,3.0,0.6947651160602988
mask,0.0,2,Normal,oracle,0.9,3.0,0.6947651160602988
mask,0.0,2,Normal,oracle,1.3,3.0,0.6947651160602988
mask,0.0,2,Normal,oracle,2.0,3.0,0.6947651160602988
mask,0.0,2,Normal,rule,0.0,10.6,0.9266360779006398
mask,0.0,2,Normal,rule,0.2,3.2,0.6947651160602988
mask,0.0,2,Normal,rule,0.4,3.0,0.6947651160602988
mask,0.0,2,Normal,rule,0.6,3.0,0.6947651160602988
mask,0.0,2,Normal,rule,0.9,3.0,0.6947651160602988
mask,0.0,2,Normal,rule,1.3,3.0,0.6947651160602988
mask,0.0,2,Normal,rule,2.0,3.0,0.6947651160602988
mask,0.0,2,Normal,learned,0.0,10.6,0.9266360779006398
mask,0.0,2,Normal,learned,0.2,3.9,0.77523873680463
mask,0.0,2,Normal,learned,0.4,3.6,0.7215194105726964
mask,0.0,2,Normal,learned,0.6,3.6,0.7917063341896682
mask,0.0,2,Normal,learned,0.9,4.0,0.8611375561264455
mask,0.0,2,Normal,learned,1.3,4.0,0.7162874455029681
mask,0.0,2,Normal,learned,2.0,4.0,0.7162874455029681
mask,0.0,2,Normal,hybrid,0.0,10.6,0.9266360779006398
mask,0.0,2,Normal,hybrid,0.2,3.3,0.7123736502858729
mask,0.0,2,Normal,hybrid,0.4,3.2,0.7314470771099788
mask,0.0,2,Normal,hybrid,0.6,3.1,0.6898286563534621
mask,0.0,2,Normal,hybrid,0.9,3.0,0.7007731679885374
mask,0.0,2,Normal,hybrid,1.3,3.0,0.6961622681399229
mask,0.0,2,Normal,hybrid,2.0,3.0,0.6961622681399229
mask,0.0,2,Oily,oracle,0.0,10.7,0.7917063341896682
mask,0.0,2,Oily,oracle,0.2,3.2,0.791726719367984
mask,0.0,2,Oily,oracle,0.4,3.1,0.8553475075669357
mask,0.0,2,Oily,oracle,0.6,3.0,0.9216017310213245
mask,0.0,2,Oily,oracle,0.9,3.0,0.9216017310213245
mask,0.0,2,Oily,oracle,1.3,3.0,0.9216017310213245
mask,0.0,2,Oily,oracle,2.0,3.0,0.9216017310213245
mask,0.0,2,Oily,rule,0.0,10.7,0.7917063341896682
mask,0.0,2,Oily,rule,0.2,3.2,0.791726719367984
mask,0.0,2,Oily,rule,0.4,3.1,0.8553475075669357
mask,0.0,2,Oily,rule,0.6,3.0,0.9216017310213245
mask,0.0,2,Oily,rule,0.9,3.0,0.9216017310213245
mask,0.0,2,Oily,rule,1.3,3.0,0.9216017310213245
mask,0.0,2,Oily,rule,2.0,3.0,0.9216017310213245
mask,0.0,2,Oily,learned,0.0,10.7,0.7917063341896682
mask,0.0,2,Oily,learned,0.2,3.5,1.0
mask,0.0,2,Oily,learned,0.4,3.9,1.0
mask,0.0,2,Oily,learned,0.6,3.9,1.0
mask,0.0,2,Oily,learned,0.9,3.9,1.0
mask,0.0,2,Oily,learned,1.3,3.9,1.0
mask,0.0,2,Oily,learned,2.0,3.9,1.0
mask,0.0,2,Oily,hybrid,0.0,10.7,0.7917063341896682
mask,0.0,2,Oily,hybrid,0.2,3.3,0.9305687780632227
mask,0.0,2,Oily,hybrid,0.4,3.3,0.9363792118010483
mask,0.0,2,Oily,hybrid,0.6,3.2,1.0
mask,0.0,2,Oily,hybrid,0.9,3.2,1.0
mask,0.0,2,Oily,hybrid,1.3,3.2,1.0
mask,0.0,2,Oily,hybrid,2.0,3.2,1.0
mask,0.0,2,Sensitive,oracle,0.0,8.1,0.7948833326720566
mask,0.0,2,Sensitive,oracle,0.2,3.3,0.9266360779006398
mask,0.0,2,Sensitive,oracle,0.4,3.1,0.8630152897016883
mask,0.0,2,Sensitive,oracle,0.6,3.0,0.7967610662472993
mask,0.0,2,Sensitive,oracle,0.9,3.0,0.7967610662472993
mask,0.0,2,Sensitive,oracle,1.3,3.0,0.7967610662472993
mask,0.0,2,Sensitive,oracle,2.0,3.0,0.7967610662472993
mask,0.0,2,Sensitive,rule,0.0,8.1,0.7948833326720566
mask,0.0,2,Sensitive,rule,0.2,3.3,0.9266360779006398
mask,0.0,2,Sensitive,rule,0.4,3.1,0.8630152897016883
mask,0.0,2,Sensitive,rule,0.6,3.0,0.7967610662472993
mask,0.0,2,Sensitive,rule,0.9,3.0,0.7967610662472993
mask,0.0,2,Sensitive,rule,1.3,3.0,0.7967610662472993
mask,0.0,2,Sensitive,rule,2.0,3.0,0.7967610662472993
mask,0.0,2,Sensitive,learned,0.0,8.1,0.7948833326720566
mask,0.0,2,Sensitive,learned,0.2,3.7,1.0
mask,0.0,2,Sensitive,learned,0.4,3.7,1.0
mask,0.0,2,Sensitive,learned,0.6,3.7,0.9363792118010483
mask,0.0,2,Sensitive,learned,0.9,3.7,0.933745776545611
mask,0.0,2,Sensitive,learned,1.3,3.7,0.9266360779006398
mask,0.0,2,Sensitive,learned,2.0,3.5,0.8512360941594274
mask,0.0,2,Sensitive,hybrid,0.0,8.1,0.7948833326720566
mask,0.0,2,Sensitive,hybrid,0.2,3.5,1.0
mask,0.0,2,Sensitive,hybrid,0.4,3.2,0.8701249883466594
mask,0.0,2,Sensitive,hybrid,0.6,3.2,0.8553475075669357
mask,0.0,2,Sensitive,hybrid,0.9,3.2,0.7788065869851872
