skin,gamma,L1,L2,L3
Normal,0.5,2.6855588277374878,1.9906227563619228,0.0
Normal,1.0,3.037580257408442,2.327597273437494,0.0
Normal,2.0,3.5253576009332765,2.7178331675583824,0.0
Normal,4.0,4.107337507877737,3.1478258633310325,0.0
Normal,0.1,2.143435228206142,1.3431390778799468,0.27424466344074633
Normal,0.3,2.3485773767269142,1.3943686969708122,0.0
Normal,0.5,2.4951742406742574,1.4953285313569449,0.0
Normal,1.0,2.808659239216482,1.7050484324916337,0.0
Normal,2.0,3.271213109688955,2.013945545866225,0.0
Normal,4.0,3.8468938833272754,2.4123742727080497,0.0
Normal,0.1,2.1249392053746154,1.184915935436211,0.24331484274358045
Normal,0.3,2.252217419101492,1.2398886039768517,0.0
Normal,0.5,2.3703135911273274,1.299106095287351,0.0
Normal,1.0,2.6357828544962465,1.4067547629418065,0.0
Normal,2.0,3.05125518097732,1.5497599897335053,0.0
Normal,4.0,3.596930268676097,1.7284528132979102,0.0
Normal,0.1,2.0514498329685487,1.2555908423016047,0.0
Normal,0.3,2.1148000548505723,1.3942790711068032,0.0
Normal,0.5,2.179148871431533,1.5100104378777892,0.0
Normal,1.0,2.3415243240883408,1.7385807022392046,0.0
Normal,2.0,2.6322987802082976,2.0559594834742434,0.0
Normal,4.0,3.04785923635591,2.4370122430833305,0.0
Normal,0.1,2.1873442988468983,1.0798984064769832,0.3027281609815134
Normal,0.3,2.2092303619220695,0.7034729806208693,0.0
Normal,0.5,2.135401895247421,0.3741431298702767,0.0
Normal,1.0,1.878960728803047,0.06767857534782995,0.0
Normal,2.0,0.7973794229097089,0.0,0.0
Normal,4.0,0.2199247219022915,0.0015680668566176127,0.0
Normal,0.1,2.2599217762313413,1.3029645115349346,0.0
Normal,0.3,2.337001007267298,1.413673459807659,0.0
Normal,0.5,2.4088052137034084,1.5098465120424218,0.0
Normal,1.0,2.5809593231613635,1.705157174805726,0.0
Normal,2.0,2.8425679462518936,1.9620428503954843,0.0
Normal,4.0,0.2739696062166006,0.5189861046867987,0.0
Oily,0.1,1.9994859157878206,1.4835407663202047,0.9685168475990482
Oily,0.3,2.097783305591036,1.3218442164060362,1.229553262754963
